name,salary,sprocket_player_id,member_id,discord_id,skill_group,franchise,Franchise Staff Position,slot,current_scrim_points,Eligible Through
Solar,14.0,1297,1321,329313899482710017,Champion League,FP,NA,NONE,0,Not Eligible
Ken Jinwoo,15.5,5789,5848,606898960086335508,Champion League,FP,NA,NONE,0,Not Eligible
DemonRevognuh,12.0,3976,4035,518538858833510424,Academy League,FP,NA,NONE,0,Not Eligible
Xpiritt,13.5,1397,1422,178684106966695947,Champion League,FP,NA,NONE,0,Not Eligible
speed,15.5,5572,5632,313917119593054209,Champion League,Pend,NA,NONE,0,Not Eligible
Jive,11.0,249,253,224410431295324170,Academy League,FP,NA,NONE,0,Not Eligible
XxREAPx,8.5,633,640,517736452747034701,Foundation League,FP,NA,NONE,0,Not Eligible
stiff,18.5,4723,4782,272937444838604811,Premier League,FP,NA,NONE,0,Not Eligible
BoxMan,12.0,1666,1696,435579088246407191,Academy League,FP,NA,NONE,0,Not Eligible
Kramer,13.5,4844,4903,402931785094135808,Champion League,FP,NA,NONE,0,Not Eligible
Krax,19.0,3016,3075,177215307717410816,Premier League,FP,NA,NONE,0,Not Eligible
OverlordGaming,19.0,3983,4042,265591681217200131,Premier League,Blizzard,NA,NONE,0,Not Eligible
Corle989,5.5,4097,4155,124898966096707585,Foundation League,Pend,NA,NONE,0,Not Eligible
Flufffy Geezer,12.0,3217,3276,286995426551398400,Academy League,FP,NA,NONE,0,Not Eligible
Steezymdc,11.0,4275,4334,733525888766967868,Academy League,FP,NA,NONE,0,Not Eligible
Thymes,14.5,2284,2343,701219445770551376,Champion League,FP,NA,NONE,0,Not Eligible
tehblister,14.5,545,552,207266416355835904,Champion League,FP,NA,NONE,0,Not Eligible
Nox__rl,16.0,1483,1508,555523634031099944,Master League,FP,NA,NONE,0,Not Eligible
Wiz_Tix,12.5,4983,5041,477573102226898976,Academy League,FP,NA,NONE,0,Not Eligible
Kaitometer,17.0,2868,2927,321520681311272960,Master League,FP,NA,NONE,0,Not Eligible
Mikey T,17.0,3560,3619,565739350965354496,Master League,FP,NA,NONE,0,Not Eligible
JohnnyG,14.5,2532,2591,557299584439943175,Champion League,Pend,NA,NONE,0,Not Eligible
SlavicYoyo,13.0,2247,2306,342700907571576832,Academy League,FP,NA,NONE,0,Not Eligible
CaptainClutch,18.5,4240,4298,681587390279712796,Premier League,FP,NA,NONE,0,Not Eligible
oiseau,14.5,1924,1983,276888283311636481,Champion League,FP,NA,NONE,0,Not Eligible
ConsciousProphit,13.5,5399,5457,651381956482826252,Champion League,FP,NA,NONE,0,Not Eligible
Ooige,8.0,5205,5263,317456204697829379,Foundation League,FP,NA,NONE,0,Not Eligible
TheLegend,10.5,3495,3554,409540677739872256,Academy League,FP,NA,NONE,0,Not Eligible
BardTaen,13.5,3731,3790,218908696443355136,Champion League,FP,NA,NONE,0,Not Eligible
Dawicow,11.5,1914,1973,476830322114166796,Academy League,FP,NA,NONE,0,Not Eligible
MaxMusic,15.0,5989,6037,277948050616614915,Champion League,Shadow,NA,PLAYERD,0,Not Eligible
PYRO,6.5,3796,3855,312431789421625346,Foundation League,FP,NA,NONE,0,Not Eligible
Scharf,14.5,3705,3764,408806746690289674,Champion League,FP,NA,PLAYERD,0,Not Eligible
DubShot,16.5,2270,2329,316621365748826112,Master League,FP,NA,NONE,0,Not Eligible
HTC,15.5,4812,4871,266771286636756993,Master League,FP,NA,NONE,0,Not Eligible
Leachy,15.5,789,798,130711539589054464,Master League,FP,NA,NONE,0,Not Eligible
TheSaucyBandit,14.0,4965,5023,470446247984103438,Champion League,Bulls,Assistant General Manager,PLAYERC,0,Not Eligible
Itsuki.,14.5,2497,2556,460995810713403413,Champion League,FP,NA,NONE,0,Not Eligible
Nezitic,19.0,2214,2273,296623823346728960,Premier League,Pend,NA,NONE,0,Not Eligible
Pettersson,7.0,4241,4299,180447633402232832,Foundation League,FP,NA,NONE,0,Not Eligible
CheffReaper,17.5,3806,3865,543208365740785665,Master League,Pend,NA,NONE,0,Not Eligible
BillyBrickWall,11.0,1523,1553,263198598127157260,Academy League,FP,NA,NONE,0,Not Eligible
RagingSilence,6.5,1507,1533,146325336576098304,Foundation League,FP,NA,NONE,0,Not Eligible
Porky,8.0,2425,2484,774064279174643732,Foundation League,FP,NA,NONE,0,Not Eligible
Anti,12.5,2106,2165,252038910870421505,Academy League,FP,NA,NONE,0,Not Eligible
McBrody,9.0,2824,2883,259502343848984576,Foundation League,FP,NA,NONE,0,Not Eligible
ElWaffleGrande,12.0,615,622,134736937947889664,Academy League,FP,NA,NONE,0,Not Eligible
H4ZE,17.0,4839,4898,691812833545158707,Master League,Knights,NA,NONE,0,Not Eligible
sep,16.0,5744,5803,191825386890461184,Champion League,FP,NA,NONE,0,Not Eligible
Echi Senpai,12.0,2912,2971,364835224753930242,Academy League,FP,NA,NONE,0,Not Eligible
AJW,14.0,1625,1655,566284859572748298,Champion League,FP,NA,NONE,0,Not Eligible
Neek,14.5,1500,1526,237223936817889281,Champion League,FP,NA,NONE,0,Not Eligible
yoyo,12.5,772,780,293938945904082945,Academy League,FP,NA,NONE,0,Not Eligible
Citation Found,10.5,2487,2546,246142078940086273,Academy League,FP,NA,NONE,0,Not Eligible
SLYR,19.5,5338,5396,255039544049532928,Premier League,FP,NA,NONE,0,Not Eligible
Kiwi,16.0,4695,4754,547964761137086467,Master League,FP,NA,NONE,0,Not Eligible
Elmo,13.0,995,1008,87792372305383424,Champion League,FP,NA,NONE,0,Not Eligible
Crouton,15.5,1605,1635,164243183625043968,Master League,FP,NA,NONE,0,Not Eligible
Bittle,13.5,4326,4385,201547826864324609,Champion League,FP,NA,NONE,0,Not Eligible
Bearded,14.0,2653,2712,549334779036827660,Champion League,FP,NA,NONE,0,Not Eligible
Ducky,16.5,2349,2408,150403801877184513,Master League,FP,NA,NONE,0,Not Eligible
GriimthereapeR,6.0,3667,3726,962854626368045096,Foundation League,Pirates,NA,PLAYERE,0,Not Eligible
Indy,15.5,824,833,437274703669886988,Master League,FP,NA,NONE,0,Not Eligible
neer,19.0,4474,4533,661086049996636160,Premier League,Pend,NA,NONE,0,Not Eligible
Soccerfan123,10.0,3415,3474,860939221975695390,Foundation League,FP,NA,NONE,0,Not Eligible
Clank,13.5,3699,3758,513619490785853451,Champion League,FP,NA,NONE,0,Not Eligible
Beastmode,15.5,6154,6199,1306400292710907975,Champion League,Pend,NA,NONE,0,Not Eligible
Aegisblitz,14.5,5426,5485,228567176083275779,Champion League,Bears,NA,PLAYERG,0,Not Eligible
hoodie,14.0,1573,1603,586766389138817024,Champion League,FP,NA,NONE,0,Not Eligible
Tagmata,19.0,536,543,166163267490676736,Premier League,FP,NA,NONE,0,Not Eligible
Lil Q,15.5,309,314,347922373594447873,Master League,FP,NA,NONE,0,Not Eligible
